"yy","mm","dd","s"
"2017","8","22","2"
"2017","9","5","2"
"2017","9","19","2"
"2017","10","3","2"
"2017","10","17","2"
"2017","10","31","2"
"2017","11","28","2"
"2017","12","5","2"
"2018","1","9","2"
"2018","1","23","2"
"2018","2","6","2"
"2018","2","20","2"
"2018","3","6","2"
"2018","3","20","2"
"2017","11","9","3"
"2017","12","12","3"
"2017","12","13","3"
"2017","12","14","3"
"2018","2","2","3"
"2018","3","23","3"
"2018","6","1","3"
"2018","6","4","3"
"2018","6","5","3"
"2018","6","6","3"
"2017","9","1","0"
"2017","9","4","0"
"2017","9","21","0"
"2017","11","10","0"
"2017","11","20","0"
"2017","11","21","0"
"2017","11","22","0"
"2017","11","23","0"
"2017","11","24","0"
"2017","12","18","0"
"2017","12","19","0"
"2017","12","20","0"
"2017","12","21","0"
"2017","12","22","0"
"2017","12","24","0"
"2017","12","25","0"
"2017","12","26","0"
"2017","12","27","0"
"2017","12","28","0"
"2017","12","29","0"
"2018","1","1","0"
"2018","1","2","0"
"2018","1","3","0"
"2018","1","4","0"
"2018","1","5","0"
"2018","1","15","0"
"2018","2","19","0"
"2018","3","26","0"
"2018","3","27","0"
"2018","3","28","0"
"2018","3","29","0"
"2018","3","30","0"
"2018","4","2","0"
"2018","5","28","0"